Authors,Author full names,Author(s) ID,Title,Year,Source title,Cited by,DOI,Link,Abstract,Index Keywords,Search_Etiquette
Maddux J.E.; Kleiman E.M.,"Maddux, James E. (7005031650); Kleiman, Evan M. (37031224700)",7005031650; 37031224700,How to Encourage People to Engage with the Arts and Humanities: Suggestions from Self-Efficacy Theory and Research,2022,The Oxford Handbook of the Positive Humanities,1,10.1093/oxfordhb/9780190064570.013.19,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138920722&doi=10.1093%2foxfordhb%2f9780190064570.013.19&partnerID=40&md5=f8d29d29d4176ac4dceb7f08f766b3d8,"Engaging with the arts and humanities (in all their myriad forms) can add a richness to life that can enhance the quality of life and subjective well-being. Too many people, however, often avoid such engagement because they do not believe that they have sufficient knowledge and experience to enjoy and appreciate some of the finer things in life, such as classical music art, literature, theatre, and dance. Self-efficacy theory and research can offer some practical suggestions for how to encourage people to experiment with the arts and humanities, not only as observers and consumers, but also as students and producers of their own work. © Oxford University Press 2021. All rights reserved.",,Arts and Humanities
Hall K.; De Gagne J.C.,"Hall, Katherine (57214645580); De Gagne, Jennie C. (57218615401)",57214645580; 57218615401,Arts and Humanities to Teach Civility in Health Professions,2020,Creative Nursing,1,10.1891/CRNR-D-18-00053,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097121457&doi=10.1891%2fCRNR-D-18-00053&partnerID=40&md5=4a19be0c3d1dbcbbc28659799e890b69,"Incivility is defined as rude or disruptive behavior which may result in psychological or physiological distress for the people involved. These behaviors, which appear to be more pervasive than ever in today's society, both in academia and in the health-care system, negatively affect professionals' well-being and the workplace environment. Nurses have an obligation to practice with compassion and respect, and to develop creative solutions for addressing incivility. Education about incivility should begin in prelicensure programs for all health professions, so that students understand the behavior expected of them as professionals. When health-care professionals embody the ideals of respect and civility, they set an example for others to follow. The arts and humanities can be used as a pedagogical tool to provide innovative learning opportunities to teach these values through the affective domain of learning. This article discusses one of the creative avenues for facilitating such opportunity, the use of the arts and humanities to teach civility in health professions education. © Copyright 2020 Creative Health Care Management.",Adult; Art; Attitude of Health Personnel; Female; Health Personnel; Humanities; Humans; Incivility; Interprofessional Relations; Male; Middle Aged; Optimism; Professionalism; Surveys and Questionnaires; Workplace; adult; art; education; female; health care personnel; health personnel attitude; human; humanities; incivility; male; middle aged; optimism; prevention and control; professionalism; psychology; public relations; questionnaire; workplace,Arts and Humanities
Herbert J.,"Herbert, James (56559400600)",56559400600,Creating the AHRC: An Arts and Humanities Research Council for the United Kingdom in the Twenty-first Century,2012,Creating the AHRC: An Arts and Humanities Research Council for the United Kingdom in the Twenty-first Century,0,10.5871/bacad/9780197264294.001.0001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925077615&doi=10.5871%2fbacad%2f9780197264294.001.0001&partnerID=40&md5=d8176c60d911016db312a00249eb3662,"This is an account of the establishment of the Arts and Humanities Research Council (AHRC) from among the Research Councils of the United Kingdom in 2005. It focuses on the campaign carried forward from the 1997 Dearing Report to the 2004 Higher Education Act to establish a public agency investing in humanities and arts research that would be equivalent to those funding natural and social science research. Built on interviews with leading participants, regional and national press coverage, and analysis of influential national studies, this book shows how engagement with contemporary issues - the knowledge economy, devolution, and the expansion of higher education - as well as a long tradition of scholarly excellence, led to the fashioning of a new model funding agency: an agency that addressed frontier issues in the arts and humanities such as increasing the scale of research, substantive collaboration with scientific fields, and explicit consideration of the results of research. © The British Academy 2008. All rights reserved.",,Arts and Humanities
Brown S.; Greengrass M.,"Brown, Stephen (55712936900); Greengrass, Mark (27170071000)",55712936900; 27170071000,Research portals in the arts and humanities,2009,Literary and Linguistic Computing,7,10.1093/llc/fqp032,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952711910&doi=10.1093%2fllc%2ffqp032&partnerID=40&md5=a8a4362cb12d63f20af5d0a9352596f6,"There has been dramatic growth in information communication technologies (ICT) infrastructure for the arts and humanities research community in recent years in the UK and elsewhere. No domain-wide survey of how researchers are using ICT and what they perceive their future needs to be has been undertaken previously and consequently what is needed in terms of a generic ICT infrastructure to support arts and humanities research is not well understood. The RePAH (Research Portals for the Arts and Humanities) Project is an AHRC funded study into the user needs for information portals to support research in the Arts and Humanities. It uses a combination of questionnaires, focus groups and Delphi opinion gathering, combined with server log-analysis data, to identify users' information discovery strategies, Internet usage patterns, awareness and attitudes towards current services and technologies and responses to what future portal developments can deliver. Responsibility for funding this kind of infrastructure is split between a number of different agencies. This makes sector-wide information gathering for strategic planning and development difficult. The results of this study may help providers to understand where the priorities lie for the arts and humanities research community and help users to appreciate some of the possibilities within their grasp. © The Author 2009. Published by Oxford University Press on behalf of ALLC and ACH. All rights reserved. For Permissions, please email: journals.permissions@oxfordjournals.org.",,Arts and Humanities
McHenry B.,"McHenry, Barnabas (57189173185)",57189173185,Notes on the Presidential Task Force on the Arts and Humanities and President's Committee on the Arts and Humanities,1984,The ANNALS of the American Academy of Political and Social Science,1,10.1177/0002716284471001012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965587759&doi=10.1177%2f0002716284471001012&partnerID=40&md5=e0f996f21dbb7f7b6d168615be55a506,"Created in 1981 by President Ronald Reagan, the Presidential Task Force on the Arts and Humanities produced a series of resolutions including a recommendation leading to the formation of the President's Committee. The Task Force did not question federal funding of the arts or the humanities, but it did suggest encouragement of federal matching grants and increases in private support. The President's Committee began its deliberations where the Task Force ended: the investigation of ways to further private support of the arts and humanities. Among the items on its agenda are the encouragement of community foundations to enter the area of cultural funding; presidential fellowships in the arts and humanities; development of an information system for the collection of data on funding; recognition awards; city pairing and sharing for cultural institutions; and various tax proposals. © 1984, SAGE PUBLICATIONS. All rights reserved.",,Arts and Humanities
Benneworth P.,"Benneworth, Paul (6505965654)",6505965654,"Tracing how arts and humanities research translates, circulates and consolidates in society.. How have scholars been reacting to diverse impact and public value agendas?",2015,Arts and Humanities in Higher Education,46,10.1177/1474022214533888,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921475814&doi=10.1177%2f1474022214533888&partnerID=40&md5=0da80609ff2a49eddfe2e012b177419b,"Arts and humanities research appears to have a problem when it comes to making an argument that it matters to society. Despite widespread efforts within and beyond the field to document how arts and humanities research creates social value, these arguments have had little traction within public policy debates. The paper argues that other disciplines have been able to mobilise an 'investment logic', based on a more nuanced model of how knowledge creates value, showing how investing in small research projects drives economic growth, highlighting, for instance, the direct links between universities, spin-offs, the biotech sector and large pharmaceutical firms. If one looks at arts and humanities research through this lens, it is possible to find examples of how individual pieces of arts and humanities research are translated upwards through first-order users, through networks, to create societal improvements: it is therefore possible to meaningfully argue for arts and humanities research driving societal value creation. The paper concludes by reflecting on how arts and humanities research might apply this wider model of research valorisation to better convey its societal benefits in contemporary science policy discussions. © The Author(s) 2014 Reprints and permissions: sagepub.co.uk/journalsPermissions.nav.",,Arts and Humanities
Mulcahy D.G.,"Mulcahy, D.G. (55645733000)",55645733000,Praxis and pedagogy as related to the arts and humanities,2010,Arts and Humanities in Higher Education,3,10.1177/1474022209356348,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77958567411&doi=10.1177%2f1474022209356348&partnerID=40&md5=b9cd6ec236871b365a07e23d6111e944,"Based on a review of its historical evolution and the contributions of significant writers in the field, this article addresses perennial questions of purpose, content and pedagogy in education in the arts and humanities and, more broadly, liberal education. Taking cognizance of the educational significance of service-learning and practical knowledge, it calls for a revitalization of arts and humanities education by drawing on elements of feminist theory as expounded by Jane Roland Martin and the emphasis on praxis, service and pedagogy in the writings of Paulo Freire, Ira Shor and others in the tradition of critical pedagogy. © The Author(s) 2010.",,Arts and Humanities
Bedenlier S.; Bond M.; Buntins K.; Zawacki-Richter O.; Kerres M.,"Bedenlier, Svenja (56938886800); Bond, Melissa (57203882659); Buntins, Katja (56912305200); Zawacki-Richter, Olaf (8674150200); Kerres, Michael (6507890068)",56938886800; 57203882659; 56912305200; 8674150200; 6507890068,Facilitating student engagement through educational technology in higher education: A systematic review in the field of arts and humanities,2020,Australasian Journal of Educational Technology,106,10.14742/AJET.5477,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078291913&doi=10.14742%2fAJET.5477&partnerID=40&md5=964877cdd0cea590e746bcd10de3b19e,"Understanding how educational technology can enhance student engagement is becoming increasingly necessary in higher education, and particularly so in arts and humanities, given the communicative nature of courses. This narrative systematic review synthesises 42 peer-reviewed arts and humanities articles published between 2007-2016, indexed in four international databases. The results indicate that the majority of research has been undertaken in language learning, predominantly in East Asian countries, with limited grounding of research in theory. This review found that educational technology supports student engagement, with behavioural engagement by far the most prevalent dimension. Affective engagement was the lowest observed dimension, with affective disengagement the most prevalent negative dimension. Blogs, mobile learning, and assessment tools were the most effective at promoting engagement. However, caution and education in how to use technology are needed, as any use not underpinned by effective and informed pedagogy can also lead to students feeling overwhelmed and disengaging from learning. Further research is needed on online collaboration, as well as international courses that offer cross-cultural opportunities for language use, and the increased use of qualitative methods is also advised. Implications for practice or policy: • Empirical research on student engagement must include a definition and be aligned to theory. • Research must include full contextual details. • Students need to understand the reasons behind using educational technology, be taught how to use the tools involved, and be encouraged to engage with peers and teachers through blogs, ePortfolios and collaborative tools. • Using blogs and discussion forums can help students to model language and thereby reduce anxiety. © 2020, Australasian Society for Computers in Learning in Tertiary Education (ASCILITE).",,Arts and Humanities
Goralnik L.; Nelson M.P.; Gosnell H.; Leigh M.B.,"Goralnik, Lissy (37039440600); Nelson, Michael Paul (14627527300); Gosnell, Hannah (6508078662); Leigh, Mary Beth (7007077707)",37039440600; 14627527300; 6508078662; 7007077707,"Arts and humanities inquiry in the Long-Term Ecological Research Network: empathy, relationships, and interdisciplinary collaborations",2017,Journal of Environmental Studies and Sciences,7,10.1007/s13412-016-0415-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017578364&doi=10.1007%2fs13412-016-0415-4&partnerID=40&md5=e2ba7104c47b3674596fc56d3a09f5ad,"The Long-Term Ecological Research (LTER) Network is a collection of 25 National Science Foundation-funded sites committed to long-term, place-based investigation of the natural world. While activities primarily focus on ecological research, arts and humanities inquiry emerged in 2002 and since then, a substantial body of creative work has been produced at LTER-affiliated sites. These art-humanities-science collaborations parallel a wider trend in universities and non-profits. However, there is little empirical work on the value and effectiveness of this work. After launching a survey in 2013 to assess the values and challenges associated with arts and humanities in the LTER Network (Goralnik et al. 2015), which identified empathy as a meaningful potential outcome of this creative work, we conducted a follow-up analysis to understand the following: the relevance of empathy in the LTER Network; the role of empathy in bridging arts, humanities, and science collaborations; and the capacity of empathy to connect wider audiences both to LTER science and to the natural world. Our research included phone interviews with representatives from 15 LTER sites and an audience perception survey at an LTER-hosted art show. We found that arts-humanities-science collaborations have great potential to catalyze relationships between scholars, the public, and the natural world; cultivate inspiration and empathy for the natural world; and spark awareness shifts that can enable pro-environmental behavior. Our research demonstrates the potential for art-humanities-science collaborations to facilitate conservation attitudes and action in the Network and beyond. © 2016, AESS.",attitudinal survey; empirical analysis; environmental economics; humanitarian aid; interdisciplinary approach; perception; public attitude; university sector,Arts and Humanities
Kálmán T.; Tonne D.; Schmitt O.,"Kálmán, Tibor (34872395200); Tonne, Danah (55248295800); Schmitt, Oliver (7005140874)",34872395200; 55248295800; 7005140874,Sustainable preservation for the arts and humanities,2015,New Review of Information Networking,1,10.1080/13614576.2015.1114831,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983379138&doi=10.1080%2f13614576.2015.1114831&partnerID=40&md5=97fdd6bd359b2a7a62de6d42e432f594,"DARIAH (Digital Research Infrastructure for the Arts and Humanities) aims to support digitally-enabled research across the arts and humanities. The activities and service portfolios are centered around communities to enable transnational, interdisciplinary research. One of the most important goals of DARIAH is the sustainable research data management. Although widely-acknowledged standards and best practices are utilized for essential long-term storage components, offering an interoperable technological solution is challenging due to the heterogeneity of the tools and data. In this article, we analyze these problems, discuss a general concept for long-term storage in DARIAH, and present two implementations of the corresponding preservation services. © Tibor Kálmán, Danah Tonne, and Oliver Schmitt.",Information management; Wood preservation; Arts; CDSTAR; DARIAH; Humanities; IRods; REST; Digital storage,Arts and Humanities
Jung D.; Kelly-Hedrick M.; Brush E.; White J.; Moniz T.; Chisolm M.S.,"Jung, Diane (58076770200); Kelly-Hedrick, Margot (57201187519); Brush, Erin (58616164300); White, Jacob (57316614300); Moniz, Tracy (56789928100); Chisolm, Margaret S. (25957566100)",58076770200; 57201187519; 58616164300; 57316614300; 56789928100; 25957566100,Evaluation of arts and humanities programs in surgery education: a systematic review,2023,International Review of Psychiatry,0,10.1080/09540261.2023.2255281,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172151490&doi=10.1080%2f09540261.2023.2255281&partnerID=40&md5=bfd02ebfc1305d1e3a718f24ae65506a,"Purpose: This systematic review seeks to understand what outcomes have been reported for arts and humanities programs in surgery education. Methods: Authors searched Medline ALL (Ovid), Embase.com, Web of Science, and Academic Search Ultimate to identify articles on evaluated arts and humanities programs in surgery education. The search identified 1,282 titles and abstracts, of which 55 underwent independent full-text review. The authors identified 10 articles that met inclusion criteria, from which they collected and analysed data. Results: Medical students were the identified learners in most studies (6/10; 60%). Reflective writing was the arts and humanities activity in half of the studies (5/10; 50%); activities based on film, visual art other than film, literature, or social media in the remaining studies (5/10; 50%). Most studies (8/10; 80%) featured a non-controlled, non-randomized design. Authors categorised 5 studies (50%) as Kirkpatrick Level 1, 4 (40%) as Level 2, and 1 (10%) as Level 3. Conclusion: Integration of the arts and humanities into surgery education may promote increased levels of learner reflection and empathy, in addition to improved acquisition of surgical skills. More rigorous evaluation of these programs would clarify the impact of arts and humanities programs on surgery learners. © 2023 Institute of Psychiatry and Johns Hopkins University.","Curriculum; Education, Medical, Undergraduate; Empathy; Humanities; Humans; Students, Medical; article; education; Embase; empathy; human; human experiment; humanities; medical education; medical student; Medline; performing arts; skill; social media; systematic review; Web of Science; writing; curriculum; education; humanities; medical student",Arts and Humanities
Dorta-González P.; Ramírez-Sánchez M.,"Dorta-González, Pablo (6506711531); Ramírez-Sánchez, Manuel (56354590600)",6506711531; 56354590600,Production and impact of the spanish research institutions in arts & humanities citation index (2003-2012); [Producción e impacto de las instituciones españolas de investigación en arts & humanities citation index (2003-2012)],2014,Arbor,7,10.3989/arbor.2014.770n6012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923360691&doi=10.3989%2farbor.2014.770n6012&partnerID=40&md5=74b667aef19ad72cdec4cf0ccd9b46d2,"This essay reviews both the scholarly output and impact factor of Spanish research institutions in the Arts & Humanities Citation Index (A&HCI) database, managed by the Thomson-Reuters Web of Science. Based on a bibliometric analysis of a range of variables it has been possible to identify those institutions with the best performance indicators, the journals publishing the most articles, the most productive areas of research, and other relevant data on publishing patterns in the Humanities. The study reveals that the most productive Spanish institutions in the Humanities are the same as those that lead the performance figures in other areas; it also highlights the outstanding production of the Spanish National Research Council (CSIC). © 2014 CSIC.",,Arts and Humanities
